Container length (in m) = 100
Container width (in m) = 200
Container depth (in m) = 400
Total number of bodies = 1000
Body radius (in m) = 0.5
Body mass (in Kg) = 1
Time step for running simulation (dt) (in secs) = 0.01
Initial coordinates =
62.470001 87.049998 243.880000 
61.460000 96.299998 76.170000 
24.600002 85.239999 235.960000 
80.660000 57.400000 341.389998 
94.290000 12.820002 208.850000 
35.660002 27.580000 151.310000 
99.220000 79.149998 115.170001 
30.640001 94.929998 89.470000 
18.310003 33.960000 115.730001 
85.020000 37.070001 9.570002 
52.030001 45.370000 154.780001 
26.610002 61.960000 34.260001 
98.610001 88.369998 239.150000 
6.220002 78.419999 79.790001 
45.900001 49.839999 168.170000 
7.030002 69.789999 5.480002 
52.520001 23.650001 164.050001 
19.070003 37.290000 250.470000 
50.720001 7.160003 168.930000 
33.720002 11.720001 150.960000 
27.590002 43.300000 131.800000 
70.730001 39.280000 153.900001 
44.380001 70.100000 42.400002 
69.250000 98.059997 247.250000 
53.030001 44.820000 357.409998 
85.320001 88.159998 108.840000 
73.180001 59.459999 318.249999 
97.680000 2.390002 272.730000 
3.010002 18.900001 293.440000 
94.939999 52.789999 166.390002 
22.720002 87.100001 86.250002 
5.150003 30.130001 117.550001 
15.550001 63.720000 8.630002 
83.290000 96.969998 359.189999 
49.520001 38.630001 332.859999 
39.690001 6.520002 68.290001 
63.020001 74.579999 255.800000 
54.590001 99.059997 180.660000 
38.790001 90.599998 46.110002 
33.150001 16.760002 120.360001 
37.680001 2.540002 296.459999 
16.580001 0.820002 187.750000 
40.890001 77.989998 258.340001 
97.040000 63.199999 27.810002 
55.460000 48.939999 7.140002 
57.900001 96.829997 291.179999 
92.660001 30.020001 348.079998 
94.960000 70.629999 258.350000 
60.550000 38.390001 27.270002 
0.840003 32.770001 289.210000 
36.350001 38.740001 22.230002 
6.110002 70.099999 315.509999 
39.050004 29.390000 302.359999 
54.590009 4.420073 121.429941 
88.780000 55.059999 199.720000 
26.170001 37.940000 245.670001 
32.060001 21.910001 54.560001 
56.160000 16.620001 1.740002 
22.440001 60.989999 345.509999 
62.530001 90.349998 226.420000 
20.260002 30.650001 195.040000 
34.660001 13.610001 397.739998 
34.090001 14.770001 79.630001 
8.650003 38.919999 121.230000 
29.570001 38.640001 341.539998 
90.830000 79.089999 394.279998 
35.760002 10.880002 243.660000 
57.760000 19.660003 273.350001 
93.330000 55.899999 291.500000 
27.560001 41.830000 42.670001 
87.670000 20.610002 264.820000 
22.240002 50.500000 201.640000 
76.110000 78.149999 54.840001 
52.510001 24.800001 25.510002 
73.750000 91.499998 227.540000 
26.280001 38.770001 311.559999 
44.410001 15.060002 145.070000 
80.720000 4.360002 140.360000 
44.800000 40.340000 287.220000 
58.390001 41.980000 68.310001 
49.330001 49.600000 52.430002 
99.430000 89.209998 70.400001 
91.560000 89.119998 285.069999 
28.180001 17.590002 259.920000 
61.440001 70.849999 63.440002 
62.190001 44.190001 286.079999 
42.510001 98.479998 375.969999 
85.100000 57.080000 311.799999 
89.240000 57.240000 91.320001 
8.310002 37.360000 73.080001 
32.190002 42.260000 222.550000 
98.580000 51.060001 306.579998 
96.860000 46.780000 126.710001 
35.560001 44.580000 81.480001 
96.240000 50.370000 114.500001 
64.910001 77.509998 313.939999 
56.850001 45.410000 382.079998 
78.120001 66.519999 390.039997 
82.750000 8.780001 17.670002 
71.250000 34.770001 66.210001 
73.470000 66.650000 10.100002 
65.600000 33.480001 276.409999 
66.610001 66.070000 388.819998 
82.610000 11.520003 159.590001 
84.760000 57.540000 72.540001 
66.330000 5.730002 252.860000 
86.840002 30.170001 322.200000 
91.560000 73.099999 122.680000 
48.570001 2.250003 246.899999 
23.260002 90.729997 89.309999 
10.080002 64.509999 159.310000 
43.130001 8.000002 265.020000 
18.080002 7.360002 287.290000 
61.619999 99.419997 137.130002 
43.960001 98.419998 71.770001 
94.160000 39.360000 190.689999 
89.950000 64.689999 172.350001 
68.210001 69.599999 105.319999 
34.350003 71.070000 261.180001 
4.930002 6.250001 347.579999 
76.890000 11.060002 214.550000 
31.260002 93.649998 266.400000 
68.190000 20.530001 114.010001 
52.290001 15.100002 333.709999 
39.730002 50.159999 163.640001 
95.639999 50.310000 171.569999 
98.000001 91.549998 199.120000 
75.040001 50.070000 128.950001 
72.200001 73.719999 205.390000 
14.560001 36.390001 355.259999 
84.830000 28.710001 398.379998 
92.839999 70.459998 339.880000 
85.680001 50.669999 164.330001 
77.060001 74.399999 241.210000 
24.240001 83.689999 15.280002 
25.360002 65.569999 137.330001 
89.360000 88.869997 304.460000 
89.130000 15.830003 174.490000 
69.420000 19.360001 217.180000 
78.780000 92.389998 52.880001 
49.710001 12.470002 44.640002 
27.470002 57.580000 75.520001 
10.280002 17.100001 31.800002 
46.310001 33.150001 173.540000 
92.410000 97.399998 135.360000 
14.030002 74.189999 257.640000 
60.690001 37.790000 166.920000 
49.740000 22.750002 308.369999 
21.710002 75.859999 62.720001 
6.480003 4.820002 129.950000 
44.710002 44.859999 213.330001 
99.130000 4.350002 287.459999 
68.730001 37.190000 139.440001 
76.310001 63.359999 291.479999 
17.280003 69.129999 150.900000 
21.350001 68.099998 314.119999 
60.470002 15.980002 210.580000 
19.470002 13.640002 91.660001 
22.800002 25.250001 182.170000 
31.920002 47.090000 277.580000 
86.610000 70.419999 384.069998 
11.820002 35.750001 329.839999 
22.500001 15.460002 66.860001 
12.810003 53.690000 270.620000 
96.830000 48.180001 259.980000 
74.370001 12.830001 374.029998 
12.980001 27.109997 128.930002 
3.830003 50.420000 308.159999 
47.110001 87.359998 337.379999 
53.770001 87.919998 113.240000 
46.050001 93.399998 140.990000 
84.280000 87.949997 309.859999 
4.580002 96.219998 190.950000 
26.020001 53.630000 265.850004 
51.270001 33.560001 9.140002 
81.390000 89.589999 388.259998 
62.110001 98.139997 231.730000 
12.240002 17.860001 63.910001 
42.180001 88.069999 79.320001 
8.430004 82.489997 243.690002 
72.330001 94.259997 282.980000 
36.540003 33.620002 295.779998 
98.910001 66.909999 359.709998 
96.220000 34.250000 42.730002 
87.009999 93.149999 35.710002 
57.060001 21.370001 277.619997 
36.110002 76.849999 216.150000 
58.790002 97.399999 140.169999 
23.980002 46.950000 168.170000 
42.370002 5.390003 235.610000 
47.080001 54.649999 142.290001 
61.660000 22.890002 61.470001 
54.490001 83.119998 262.350000 
86.980000 71.809999 295.389999 
62.500001 24.140001 253.380000 
46.100001 46.540000 334.519999 
26.500002 43.540000 80.400001 
79.390000 53.040000 56.160001 
52.770001 50.650000 370.489998 
38.810001 70.359999 22.190002 
47.850002 84.980000 281.710000 
52.620001 23.870001 44.440002 
48.310002 61.580000 58.910002 
65.450001 78.389999 218.910000 
85.990001 50.960000 156.140002 
74.060001 17.430003 170.139999 
97.650000 45.110002 285.360000 
73.100001 55.499999 273.950000 
78.430001 75.909999 356.559998 
73.010001 48.750000 217.280000 
71.830001 46.440001 272.620000 
10.920000 80.680000 246.059998 
3.360003 65.609999 181.570000 
46.430001 76.219999 9.160002 
29.260002 43.090001 267.640001 
77.960001 87.619998 183.600000 
16.380003 38.079999 57.530002 
97.720000 39.430000 344.769997 
46.230001 68.069998 288.919999 
86.720001 46.520001 169.950000 
25.400003 54.249999 269.359996 
20.270002 25.840001 64.140001 
19.790002 87.269999 188.490000 
63.450001 22.060001 204.630000 
59.460001 33.510001 351.699998 
86.800000 76.859999 229.580000 
3.400002 10.700001 187.440000 
72.840000 10.430003 190.020000 
12.940001 92.349999 397.199999 
88.560000 48.040000 133.960001 
59.470001 27.400001 175.389999 
13.380002 36.640000 160.650000 
35.680001 44.579999 377.179997 
76.800000 21.980002 50.590001 
49.760001 95.049998 40.580001 
73.180000 56.309999 327.159999 
72.870001 52.570000 305.219999 
46.310001 40.610001 217.729999 
6.740002 41.890000 289.350000 
14.550002 68.040000 66.780001 
11.750003 24.140004 130.439999 
65.610000 54.100000 351.540000 
14.690002 59.939999 316.369999 
58.730001 85.789999 360.189999 
3.520003 22.490001 133.060000 
61.910001 83.529999 375.719998 
56.920001 4.430002 281.959999 
4.040002 53.790000 283.820001 
88.390001 36.240001 185.660000 
43.620001 57.390000 243.720000 
89.770002 67.840000 341.899998 
1.590002 34.740000 377.869999 
8.220002 97.969999 335.009999 
45.960002 43.910000 191.000000 
47.980001 71.759999 205.190000 
57.190000 22.120001 135.920001 
28.010001 11.480002 282.780000 
8.540001 44.419999 353.929999 
91.060001 11.830002 351.849998 
95.430000 7.760003 332.450000 
57.170001 46.010000 34.400002 
73.760000 30.760001 164.620001 
80.020000 76.089999 31.460002 
82.780000 63.210001 387.399998 
19.010001 94.379999 383.269999 
4.540002 31.810001 80.300000 
90.900001 12.000002 336.249999 
87.630000 39.650001 206.140000 
7.850002 5.950001 53.040001 
57.360001 56.460000 233.830000 
39.640001 95.939999 396.379998 
33.560002 39.670001 374.229998 
11.170002 60.370000 179.450000 
41.590001 56.390000 293.679998 
44.660001 16.380001 238.100000 
69.120000 86.929998 83.640000 
34.450002 38.190002 279.370001 
53.960001 0.810002 41.720001 
66.490001 62.669999 184.700000 
72.450000 47.160001 348.149998 
47.640001 20.190001 53.740001 
69.630001 27.640002 328.749999 
73.060000 6.800003 203.350000 
50.340001 3.270001 20.710002 
49.050001 21.520001 136.230002 
28.990001 92.179998 234.710000 
90.800000 51.090000 46.710002 
54.659992 4.979932 120.960060 
16.230001 46.790000 305.970000 
12.020002 11.250001 144.140000 
46.440001 19.280001 65.580001 
49.380002 81.809998 185.780000 
22.270002 16.830001 228.370000 
4.040002 22.530001 231.700000 
1.170002 89.839999 177.800000 
51.190002 93.049998 241.200000 
20.680001 33.620001 58.860001 
1.290002 9.730001 244.070000 
30.870001 3.520002 336.119999 
31.050001 25.930001 189.930000 
9.700001 7.300001 383.679999 
61.830000 92.619998 32.670001 
35.540001 92.019998 177.520000 
79.150001 67.059999 138.800000 
24.030002 85.319999 51.540001 
83.230000 67.709999 96.280001 
65.020001 32.720001 71.620000 
77.380000 98.879998 40.250001 
66.130000 7.140002 226.650000 
34.050002 41.940000 286.479999 
72.930001 45.340001 296.959999 
86.790002 73.179998 174.930001 
88.820000 25.280001 251.880000 
93.680000 48.760001 295.990000 
11.550002 45.270000 326.259998 
38.120002 89.089999 144.500000 
7.300003 27.420001 161.330000 
87.030000 86.349999 8.030002 
12.490002 60.040000 249.030000 
53.530000 8.220003 142.380000 
17.470002 22.880001 99.740001 
22.570000 30.570002 116.810000 
58.610000 80.349998 188.440000 
41.870000 7.640002 79.590000 
14.820001 50.429999 318.189998 
4.169998 42.280001 357.790000 
42.490000 87.729999 58.160001 
77.150000 80.659999 0.800002 
1.600003 55.319999 288.369999 
2.610003 25.670001 309.389999 
23.100001 5.770002 325.449999 
58.390000 89.889999 23.130002 
23.610001 34.010000 110.940002 
98.979999 86.499998 283.220000 
57.940001 88.509998 179.290001 
56.630001 81.069998 87.700000 
26.270001 69.629999 166.640000 
99.150000 47.670000 335.269999 
78.870000 54.340000 253.580000 
90.960000 49.800000 21.040002 
85.240000 63.169999 252.050000 
25.230002 85.589999 34.810002 
55.640000 8.000002 238.100000 
83.080000 55.180000 7.030002 
44.050001 31.770001 86.590001 
64.280001 68.709998 94.140000 
16.810001 6.380001 128.080000 
45.210001 39.660001 359.679998 
91.619998 29.140002 323.139999 
39.340001 88.909998 84.869999 
73.880000 3.930002 277.199999 
97.219999 32.510002 177.580000 
93.190000 23.650002 181.280000 
62.190000 14.950002 105.460001 
40.740002 60.079999 287.180000 
53.410001 40.710000 234.960000 
63.490001 42.230001 194.480000 
63.260002 54.999999 355.989996 
69.180000 63.360000 98.620000 
30.170003 77.259998 258.870000 
51.160001 95.479998 217.570000 
89.240000 66.679999 277.630000 
11.210002 85.329999 172.110000 
91.349999 72.249999 178.749999 
54.520001 21.130002 173.230000 
26.870002 32.700001 330.329999 
85.210001 27.290002 94.220001 
79.200002 86.549998 312.819998 
21.660007 26.080012 362.689990 
86.250000 17.620001 387.759998 
34.430001 40.470000 328.119999 
71.330000 80.399998 70.650001 
43.520001 89.749999 28.700002 
92.700000 82.969998 101.300001 
45.480001 17.340001 106.140001 
79.990000 38.470001 331.429999 
68.560002 54.460000 330.229998 
46.920001 72.939999 74.380001 
36.930001 72.679998 265.079998 
90.860000 27.100002 40.410002 
80.710001 72.749999 306.609999 
11.860003 45.730001 314.059999 
82.430000 43.010000 262.000001 
81.900000 6.520002 124.510001 
7.790002 15.570002 277.220000 
88.500000 30.300001 100.920000 
87.130002 92.369996 284.350000 
23.020000 16.310001 1.070003 
43.080001 54.449999 336.719998 
65.930000 9.330002 40.230002 
10.320002 64.589999 110.140000 
19.960002 17.810000 5.560000 
0.710002 78.239999 229.610000 
79.310001 32.600001 81.540001 
95.890000 29.340001 83.090001 
8.730002 24.770001 266.300000 
64.380001 82.009998 290.429999 
57.630001 77.160000 32.820002 
62.070001 98.509998 371.549999 
73.770001 42.150000 175.530000 
2.890002 60.460000 94.510001 
38.900001 65.299999 273.639999 
48.660001 7.080002 350.999999 
